date,product_type,price_per_ton,volume_metric_tons,destination_country,quality_grade,transport_mode,season
2020-01-15,OLIVE_OIL,3200.00,50.5,France,PREMIUM,SHIPPING,WINTER
2020-01-20,DATES,2200.00,25.3,Germany,STANDARD,AIR,WINTER
2020-02-10,CITRUS_FRUITS,1500.00,100.2,Italy,STANDARD,SHIPPING,WINTER
2020-03-05,OLIVE_OIL,3100.00,45.8,Spain,PREMIUM,SHIPPING,SPRING
2020-03-12,WHEAT,800.00,200.5,Libya,STANDARD,TRUCK,SPRING
2020-04-08,TOMATOES,1200.00,75.3,France,STANDARD,AIR,SPRING
2020-05-15,PEPPERS,1800.00,30.7,Germany,PREMIUM,AIR,SPRING
2020-06-10,OLIVE_OIL,3000.00,40.2,UK,PREMIUM,SHIPPING,SUMMER
2020-07-22,DATES,2100.00,28.9,Netherlands,STANDARD,AIR,SUMMER
2020-08-18,CITRUS_FRUITS,1450.00,95.7,Belgium,STANDARD,SHIPPING,SUMMER
2020-09-05,WHEAT,850.00,180.3,Algeria,STANDARD,TRUCK,AUTUMN
2020-10-12,TOMATOES,1250.00,80.1,Italy,STANDARD,AIR,AUTUMN
2020-11-20,PEPPERS,1750.00,32.5,France,PREMIUM,AIR,AUTUMN
2020-12-15,OLIVE_OIL,3400.00,55.7,Germany,PREMIUM,SHIPPING,WINTER
